Date,State,Confirmed,Active,Recovered,Deaths,Gender,Age
2020-03-15,Tamil Nadu,3117,864,2227,26,Female,27
2020-03-15,Kerala,2173,1846,301,26,Male,41
2020-03-15,Karnataka,1258,143,1091,24,Female,46
2020-03-15,Maharashtra,4050,472,3568,10,Male,27
2020-03-15,Delhi,49,15,34,0,Female,18
2020-03-15,Gujarat,996,520,474,2,Female,57
2020-03-15,West Bengal,1228,546,673,9,Female,62
2020-03-15,Uttar Pradesh,2391,154,2205,32,Male,25
2020-03-15,Rajasthan,682,451,221,10,Male,24
2020-03-15,Punjab,2696,1315,1372,9,Female,33
2020-03-16,Tamil Nadu,2750,1172,1535,43,Female,22
2020-03-16,Kerala,4948,2560,2341,47,Female,25
2020-03-16,Karnataka,4031,3623,396,12,Female,47
2020-03-16,Maharashtra,2034,270,1757,7,Male,51
2020-03-16,Delhi,584,61,521,2,Female,35
2020-03-16,Gujarat,4849,2932,1892,25,Male,62
2020-03-16,West Bengal,4363,4090,209,64,Male,42
2020-03-16,Uttar Pradesh,2498,1928,531,39,Male,27
2020-03-16,Rajasthan,4468,3893,516,59,Female,29
2020-03-16,Punjab,2895,2523,347,25,Female,54
2020-03-17,Tamil Nadu,1834,1140,658,36,Male,68
2020-03-17,Kerala,2223,554,1647,22,Male,44
2020-03-17,Karnataka,2582,368,2180,34,Female,27
2020-03-17,Maharashtra,2789,2299,458,32,Female,26
2020-03-17,Delhi,4933,1851,3010,72,Female,54
2020-03-17,Gujarat,3529,3082,445,2,Female,41
2020-03-17,West Bengal,480,354,125,1,Female,56
2020-03-17,Uttar Pradesh,2406,2252,135,19,Male,44
2020-03-17,Rajasthan,4249,3957,243,49,Male,22
2020-03-17,Punjab,1386,949,425,12,Female,19
2020-03-18,Tamil Nadu,3038,2248,745,45,Female,29
2020-03-18,Kerala,1766,200,1536,30,Male,23
2020-03-18,Karnataka,4521,1749,2731,41,Female,64
2020-03-18,Maharashtra,4308,1797,2453,58,Male,49
2020-03-18,Delhi,2481,289,2143,49,Male,70
2020-03-18,Gujarat,2797,1193,1565,39,Male,30
2020-03-18,West Bengal,2215,1570,610,35,Male,33
2020-03-18,Uttar Pradesh,2035,196,1823,16,Male,45
2020-03-18,Rajasthan,3267,3111,114,42,Male,27
2020-03-18,Punjab,1015,19,987,9,Female,46
2020-03-19,Tamil Nadu,4943,1178,3677,88,Male,30
